port,lon,lat,range,code,harbour
ADA,-176.65,51.883,3,1,ADA
ADA2,-176.095,51.982,3,-99,ADA2
AKU,-165.767,54.133,3,10,AKU
ALI,-154.1456,57.0285,3,2,ALI
ANA,-122.611,48.513,3,-99,ANA
ANC,-149.883,61.217,3,70,ANC
ANG,-134.583,57.5,3,57,ANG
ANI,-159.517,61.567,3,72,ANI
ANV,-160.2,62.65,3,58,ANV
AST,-123.83,46.188,3,-99,AST
ATK,-174.201,52.196,3,21,ATK
BEL,-122.47,48.744,3,20,BEL
BET,-161.75,60.783,3,59,BET
BLA,-122.746,48.994,3,-99,BLA
CHG,-158.4,56.3,3,22,CHG
CPT,-158.551,58.844,3,-99,CPT
COR,-145.75,60.55,3,11,COR
CRG,-133.15,55.467,3,23,CRG
DIL,-158.45,59.033,3,24,DIL
DUT,-166.533,53.883,3,3,DUT
EGE,-157.367,58.217,3,25,EGE
EKU,-158.55,58.817,3,69,EKU
ELF,-136.333,58.183,3,66,ELF
EMM,-164.533,62.783,3,53,EMM
XIP,-135.433,58.417,3,26,XIP
FBK,-147.717,64.833,3,77,FBK
FSP,-163.415,54.851,3,27,FSP
GAL,-156.933,64.733,3,78,GAL
GLN,-145.55,62.117,3,80,GLN
GUS,-135.733,58.4,3,28,GUS
HNS,-135.433,59.233,3,29,HNS
HOM,-151.424,59.607,3,12,HOM
HNH,-135.433,58.1,3,30,HNH
HYD,-132.817,55.2,3,81,HYD
JNU,-134.3,58.167,3,4,JNU
KAK,-133.933,56.967,3,82,KAK
KAL,-158.717,64.333,3,83,KAL
KAS,-151.283,60.383,3,32,KAS
KEN,-151.267,60.55,3,33,KEN
KTN,-131.633,55.333,3,13,KTN
KCO,-162.3208,55.05777,3,5,KCO
KNG,-156.65,58.683,3,67,KNG
KIP,-164.041,59.939,3,50,KIP
KLA,-133.083,55.55,3,52,KLA
KOD,-152.4119,57.77901,3,14,KOD
KOD2,-152.5228,57.73213,3,-999,KOD2
KOT,-162.583,66.9,3,85,KOT
LAC,-122.495,48.389,3,-99,LAC
LRB,-153.9784,57.54056,3,-99,LRB
LZB,-154.2478,56.89861,3,-99,LZB
MET,-131.567,55.117,3,35,MET
NAK,-157.2,58.717,3,36,NAK
NEN,-149.083,64.567,3,87,NEN
NPT,-124.052,44.637,3,-99,NPT
NIK,-151.289,60.69,3,68,NIK
NIN,-151.667,60.05,3,54,NIN
NOM,-165.417,64.5,3,37,NOM
NUL,-158.1,64.717,3,-99,NUL
NUN,-166.211,60.095,3,88,NUN
OLD,-153.2842,57.21222,3,51,OLD
OLY,-122.899,47.038,3,-99,OLY
PEL,-136.217,57.95,3,89,PEL
PBG,-132.967,56.8,3,38,PBG
PAL,-133.633,56.25,3,90,PAL
PTB,-153.0444,57.931,3,92,PTB
GRM,-151.83,59.351,3,93,GRM
MOL,-160.577,55.989,3,95,MOL
PTP,-133.598,56.317,3,96,PTP
POR,-122.675,45.524,3,-99,POR
STM,-163.166,62.053,3,102,STM
SPT,-160.5032,55.33342,3,6,SPT
SAV,-170.479,63.694,3,40,SAV
SEA,-122.217,47.7,3,15,SEA
SWK,-160,66.6,3,98,SWK
SEL,-151.7,59.433,3,99,SEL
SEW,-149.45,60.117,3,7,SEW
SIT,-135.333,57.05,3,16,SIT
SKG,-135.3,59.45,3,100,SKG
SOL,-151.05,60.483,3,39,SOL
SNK,-156.998,58.716,3,-99,SNK
TAC,-122.443,47.253,3,19,TAC
TEN,-135.217,57.767,3,104,TEN
TOG,-160.4,59.067,3,41,TOG
TOK,-142.983,63.333,3,-99,TOK
TSK,-165.103,60.53,3,46,TSK
IFP,-166.3193,53.73333,-99,-99,IFP
UGA,-157.383,57.5,3,105,UGA
UNA,-160.783,63.867,3,106,UNA
VAL,-146.267,61.117,3,42,VAL
VAN,-122.66,45.639,3,-99,VAN
WAS,-149.433,61.567,3,-99,WAS
WHT,-148.683,60.767,3,43,WHT
WRN,-132.367,56.467,3,44,WRN
YAK,-139.733,59.55,3,9,YAK
CDB,-162.694,55.207,3,-99,CDB
YAN,-157.1346,56.79899,3,-99,YAN
TOG2,-160.353,58.94,3,-99,TOG2
STP,-170.285,57.125,3,8,STP
PTL,-152.7663,57.8652,3,-99,PTL
SDB,-160.4564139,55.52205556,3,-99,SDB
SNK,-161.5121667,54.40620278,3,-99,SNK
