"Run","Est","SE","P_value","Sector"
"Inertia (aggregate)",0.2247,0.5519,0.684,"rockfish"
"Inertia (individual)",1.3944,0.4046,6e-04,"rockfish"
"Distance (aggregate)",-0.0845,0.1372,0.5384,"rockfish"
"Distance (individual)",-0.1278,0.1433,0.3726,"rockfish"
"Days (aggregate)",1.1133,1.1566,0.3359,"rockfish"
"Days (individual)",0.2498,0.2891,0.3878,"rockfish"
"Latitude (aggregate)",-0.1167,0.4785,0.8073,"rockfish"
"Latitude (individual)",0.2395,0.2252,0.288,"rockfish"
"Longitude (aggregate)",0.1804,1.5139,0.9052,"rockfish"
"Longitude (individual)",-0.3495,0.6574,0.5952,"rockfish"
"Inertia (aggregate)",0.2742,0.2016,0.1742,"longline"
"Inertia (individual)",1.6295,0.5818,0.0053,"longline"
"Distance (aggregate)",-0.2271,0.1365,0.0968,"longline"
"Distance (individual)",-0.2379,0.1737,0.1714,"longline"
"Days (aggregate)",0.5536,0.2468,0.025,"longline"
"Days (individual)",0.5024,0.0735,0,"longline"
"Latitude (aggregate)",-0.1234,0.2166,0.569,"longline"
"Latitude (individual)",0.4994,0.2745,0.0694,"longline"
"Longitude (aggregate)",0.6273,0.5468,0.2516,"longline"
"Longitude (individual)",0.8045,0.8151,0.324,"longline"
