"Run","Est","SE","P_value","Sector"
"Days (aggregate)",0.8134,1.3722,0.5534,"rockfish"
"Days (individual)",-0.0037,0.2421,0.9879,"rockfish"
"Distance (aggregate)",0.142,0.0742,0.0599,"rockfish"
"Distance (individual)",0.1811,0.0393,0,"rockfish"
"Inertia (aggregate)",0.5658,1.3368,0.6723,"rockfish"
"Inertia (individual)",1.7541,0.9311,0.0601,"rockfish"
"Latitude (aggregate)",-0.0147,0.4484,0.9739,"rockfish"
"Latitude (individual)",0.02,0.3951,0.9597,"rockfish"
"Longitude (aggregate)",0.1032,1.3864,0.9407,"rockfish"
"Longitude (individual)",0.6007,1.2734,0.6373,"rockfish"
"Days (aggregate)",0.6267,0.3097,0.0432,"longline"
"Days (individual)",0.3151,0.0537,0,"longline"
"Distance (aggregate)",-1.5277,0.3618,1e-04,"longline"
"Distance (individual)",-1.0766,0.1334,0,"longline"
"Inertia (aggregate)",-0.6712,0.6339,0.2901,"longline"
"Inertia (individual)",0.8652,0.3632,0.0176,"longline"
"Latitude (aggregate)",0.0568,0.1587,0.7206,"longline"
"Latitude (individual)",-0.0621,0.138,0.653,"longline"
"Longitude (aggregate)",0.2235,0.4966,0.6528,"longline"
"Longitude (individual)",0.5861,0.5477,0.285,"longline"
