"Run","Est","SE","P_value","Sector"
"Inertia (aggregate)",NA,NA,NA,"LE/CS Trawl"
"Inertia (individual)",NA,NA,NA,"LE/CS Trawl"
"Distance (aggregate)",NA,NA,NA,"LE/CS Trawl"
"Distance (individual)",NA,NA,NA,"LE/CS Trawl"
"Days (aggregate)",NA,NA,NA,"LE/CS Trawl"
"Days (individual)",NA,NA,NA,"LE/CS Trawl"
"Latitude (aggregate)",NA,NA,NA,"LE/CS Trawl"
"Latitude (individual)",NA,NA,NA,"LE/CS Trawl"
"Longitude (aggregate)",NA,NA,NA,"LE/CS Trawl"
"Longitude (individual)",NA,NA,NA,"LE/CS Trawl"
"Inertia (aggregate)",NA,NA,NA,"At-sea hake"
"Inertia (individual)",NA,NA,NA,"At-sea hake"
"Distance (aggregate)",NA,NA,NA,"At-sea hake"
"Distance (individual)",NA,NA,NA,"At-sea hake"
"Days (aggregate)",NA,NA,NA,"At-sea hake"
"Days (individual)",NA,NA,NA,"At-sea hake"
"Latitude (aggregate)",NA,NA,NA,"At-sea hake"
"Latitude (individual)",NA,NA,NA,"At-sea hake"
"Longitude (aggregate)",NA,NA,NA,"At-sea hake"
"Longitude (individual)",NA,NA,NA,"At-sea hake"
