"Run","Est","SE","P_value","Sector"
"Days (aggregate)",-0.327,0.134,0.0149,"LE/CS Trawl"
"Days (individual)",-0.2733,0.0739,2e-04,"LE/CS Trawl"
"Distance (aggregate)",0.1059,0.0657,0.1078,"LE/CS Trawl"
"Distance (individual)",0.1178,0.065,0.0704,"LE/CS Trawl"
"Inertia (aggregate)",0.0068,0.1137,0.9523,"LE/CS Trawl"
"Inertia (individual)",0.3485,0.1619,0.0318,"LE/CS Trawl"
"Latitude (aggregate)",-0.2482,0.2855,0.385,"LE/CS Trawl"
"Latitude (individual)",-0.063,0.2805,0.8224,"LE/CS Trawl"
"Longitude (aggregate)",0.0143,0.0698,0.8375,"LE/CS Trawl"
"Longitude (individual)",-0.02,0.0675,0.7667,"LE/CS Trawl"
"Days (aggregate)",-0.1579,0.4372,0.7182,"At-sea hake CP"
"Days (individual)",-0.0936,0.2398,0.6964,"At-sea hake CP"
"Distance (aggregate)",NA,NA,NA,"At-sea hake CP"
"Distance (individual)",NA,NA,NA,"At-sea hake CP"
"Inertia (aggregate)",0.0195,0.3997,0.9612,"At-sea hake CP"
"Inertia (individual)",0.1328,0.445,0.7655,"At-sea hake CP"
"Latitude (aggregate)",-0.7027,0.9792,0.4734,"At-sea hake CP"
"Latitude (individual)",-0.5991,0.9756,0.5395,"At-sea hake CP"
"Longitude (aggregate)",-0.1233,0.2439,0.6134,"At-sea hake CP"
"Longitude (individual)",-0.1005,0.2413,0.6774,"At-sea hake CP"
"Days (aggregate)",0.1805,0.4372,0.6799,"At-sea hake MS"
"Days (individual)",0.05,0.2398,0.8349,"At-sea hake MS"
"Distance (aggregate)",NA,NA,NA,"At-sea hake MS"
"Distance (individual)",NA,NA,NA,"At-sea hake MS"
"Inertia (aggregate)",-0.0548,0.3997,0.891,"At-sea hake MS"
"Inertia (individual)",0.6237,0.445,0.1616,"At-sea hake MS"
"Latitude (aggregate)",-1.3134,0.9792,0.1804,"At-sea hake MS"
"Latitude (individual)",-0.8323,0.9756,0.394,"At-sea hake MS"
"Longitude (aggregate)",0.0242,0.2439,0.9211,"At-sea hake MS"
"Longitude (individual)",-0.0183,0.2413,0.9397,"At-sea hake MS"
