"Run","Est","SE","P_value","Sector"
"Days (aggregate)",-0.1577,0.1455,0.2796,"LE/CS Trawl"
"Days (individual)",-0.2709,0.0766,5e-04,"LE/CS Trawl"
"Distance (aggregate)",0.0315,0.0601,0.5999,"LE/CS Trawl"
"Distance (individual)",0.0348,0.0606,0.5659,"LE/CS Trawl"
"Inertia (aggregate)",0.0523,0.0935,0.5766,"LE/CS Trawl"
"Inertia (individual)",0.193,0.1758,0.2734,"LE/CS Trawl"
"Latitude (aggregate)",0.1469,0.2645,0.5792,"LE/CS Trawl"
"Latitude (individual)",0.2331,0.2629,0.3761,"LE/CS Trawl"
"Longitude (aggregate)",-0.0723,0.0604,0.2328,"LE/CS Trawl"
"Longitude (individual)",-0.036,0.0836,0.667,"LE/CS Trawl"
"Days (aggregate)",-2.2844,0.8044,0.0049,"At-sea hake CP"
"Days (individual)",-0.542,0.4165,0.1944,"At-sea hake CP"
"Distance (aggregate)",NA,NA,NA,"At-sea hake CP"
"Distance (individual)",NA,NA,NA,"At-sea hake CP"
"Inertia (aggregate)",0.0178,0.2896,0.9511,"At-sea hake CP"
"Inertia (individual)",-0.2934,0.3801,0.4409,"At-sea hake CP"
"Latitude (aggregate)",-0.7334,0.8675,0.3987,"At-sea hake CP"
"Latitude (individual)",-0.6505,0.8604,0.4503,"At-sea hake CP"
"Longitude (aggregate)",-0.1212,0.1809,0.5037,"At-sea hake CP"
"Longitude (individual)",-0.0876,0.2102,0.6772,"At-sea hake CP"
"Days (aggregate)",-0.4807,0.1448,0.001,"At-sea hake MS"
"Days (individual)",NA,0,NA,"At-sea hake MS"
"Distance (aggregate)",NA,NA,NA,"At-sea hake MS"
"Distance (individual)",NA,NA,NA,"At-sea hake MS"
"Inertia (aggregate)",0.5092,0.2896,0.08,"At-sea hake MS"
"Inertia (individual)",0.1717,0.3801,0.6519,"At-sea hake MS"
"Latitude (aggregate)",-0.1201,0.8675,0.89,"At-sea hake MS"
"Latitude (individual)",-0.0382,0.8604,0.9646,"At-sea hake MS"
"Longitude (aggregate)",-0.1114,0.1809,0.5388,"At-sea hake MS"
"Longitude (individual)",-0.1018,0.2102,0.6287,"At-sea hake MS"
